chunk_id,title,section,PDF页码,书本页码,是否确认,备注
chunk_szzjys_demo_001,绪论,绪论,15,1,推定,正文命中 PDF 第 15 页；该页未印正文页码，书本页码按相邻页连续关系推定为 1。
chunk_szzjys_demo_002,三、学习研究中国共产党思想政治教育史的目的、意义和方法,绪论 / 三、学习研究中国共产党思想政治教育史的目的、意义和方法,19,5,是,正文命中 PDF 第 19 页；页脚书本页码为 5。
chunk_szzjys_demo_003,一、马克思学说在中国的最初传入,第一章中国共产党成立与思想政治教育的历史开端 / 第一节马克思主义的最初传入与广泛传播 / 一、马克思学说在中国的最初传入,25,11,是,正文命中 PDF 第 25 页；页脚书本页码为 11。
chunk_szzjys_demo_004,三、马克思主义在论战中成为新文化运动的主流,第一章中国共产党成立与思想政治教育的历史开端 / 第一节马克思主义的最初传入与广泛传播 / 三、马克思主义在论战中成为新文化运动的主流,29,15,是,正文命中 PDF 第 29 页；页脚书本页码为 15。跨页 chunk，正文开头在 PDF 29 页；已由原 PDF 30 页修正为起始页。
chunk_szzjys_demo_005,一、共产主义小组研究和宣传马克思主义,第一章中国共产党成立与思想政治教育的历史开端 / 第二节中国共产党思想政治教育的发轫 / 一、共产主义小组研究和宣传马克思主义,34,20,是,正文命中 PDF 第 34 页；页脚书本页码为 20。
chunk_szzjys_demo_006,二、党的一大与思想政治教育基本原则的确立,第一章中国共产党成立与思想政治教育的历史开端 / 第二节中国共产党思想政治教育的发轫 / 二、党的一大与思想政治教育基本原则的确立,39,25,是,正文命中 PDF 第 39 页；页脚书本页码为 25。
chunk_szzjys_demo_007,四、党的二大与思想政治教育目标任务的提出,第一章中国共产党成立与思想政治教育的历史开端 / 第二节中国共产党思想政治教育的发轫 / 四、党的二大与思想政治教育目标任务的提出,46,32,是,正文命中 PDF 第 46 页；页脚书本页码为 32。
chunk_szzjys_demo_008,（一）党在黄埔军校的政治教育,第一章中国共产党成立与思想政治教育的历史开端 / 第三节大革命时期思想政治教育的蓬勃开展 / 一、黄埔军校和国民革命军的政治教育 / （一）党在黄埔军校的政治教育,54,40,是,正文命中 PDF 第 54 页；页脚书本页码为 40。
chunk_szzjys_demo_009,物质利益原则,第一章中国共产党成立与思想政治教育的历史开端 / 第三节大革命时期思想政治教育的蓬勃开展 / 二、教育农民投身大革命,59,45,是,正文命中 PDF 第 59 页；页脚书本页码为 45。
chunk_szzjys_demo_010,三、思想政治教育理论的萌芽,第一章中国共产党成立与思想政治教育的历史开端 / 第三节大革命时期思想政治教育的蓬勃开展 / 三、思想政治教育理论的萌芽,64,50,是,正文命中 PDF 第 64 页；页脚书本页码为 50。
